FOOD_CODE|Name|Group|Type|Abu (ASH)|Air (Water)|Besi (Fe)|Beta-Karoten (Carotenes)|Energi (Energy)|Fosfor (P)|Kalium (K)|Kalsium (Ca)|Karbohidrat (CHO)|Karoten Total (Re)|Lemak (Fat)|Natrium (Na)|Niasin (Niacin)|Protein (Protein)|Retinol (Vit. A)|Riboflavin (Vit. B2)|Seng (Zn)|Serat (Fibre)|Tembaga (Cu)|Thiamin (Vit. B1)|Vitamin C (Vit. C)
DP002|Spinach, boiled|Vegetables|Processed/Products|1.0 g|93.5 g|0.5 mg|3,282 mcg|23 Kal|35 mg|308.4 mg|150 mg|3.7 g|2,864 mcg|0.6 g|16 mg|0.9 mg|1.2 g|0 mcg|0.10 mg|0.3 mg|1.1 g|0.20 mg|0.02 mg|19 mg
DP003|Bean, boiled|Vegetables|Processed/Products|0.6 g|90.6 g|0.5 mg|1 mcg|30 Kal|47 mg|138.9 mg|107 mg|6.4 g|402 mcg|0.2 g|7 mg|2.0 mg|2.2 g|0|0.29 mg|0.3 mg|1.5 g|0.10 mg|0.01 mg|8 mg
DP004|long beans leaves, boiled|Vegetables|Processed/Products|0.8 g|87.2 g|3.7 mg|2,645 mcg|40 Kal|66 mg|419.5 mg|111 mg|8.0 g|5,781 mcg|0.3 g|6 mg|0.9 mg|3.7 g|0 mcg|0.20 mg|0.3 mg|1.8 g|0.20 mg|0.15 mg|11 mg
DP005|Sweet leaves, boiled|Vegetables|Processed/Products|1.4 g|83.3 g|3.1 mg|11,131 mcg|53 Kal|102 mg|291.3 mg|185 mg|9.1 g|9,000 mcg|0.9 g|16 mg|2.2 mg|5.3 g|0 mcg|0.30 mg|1.3 mg|1.2 g|0.30 mg|0.00 mg|66 mg
DP006|Moringa leaves, boiled|Vegetables|Processed/Products|2.6 g|80.3 g|2.1 mg|3,972 mcg|61 Kal|36 mg|181.2 mg|255 mg|10.0 g|6,071 mcg|0.9 g|45 mg|4.0 mg|6.1 g|0|0.10 mg|0.6 mg|0.9 g|0.10 mg|0.10 mg|13 mg
DP007|Indian mulberry, steamed|Vegetables|Processed/Products|1.6 g|81.6 g|6.0 mg|2 mcg|63 Kal|43 mg|0|300 mg|11.5 g|4,900 mcg|1.5 g|0|5.2 mg|3.8 g|0|0.10 mg|0|2.4 g|0|0.08 mg|11 mg
DP008|Cassava leaves, boiled|Vegetables|Processed/Products|0.4 g|90.5 g|2.6 mg|3,897 mcg|31 Kal|50 mg|14.0 mg|160 mg|4.8 g|4,150 mcg|0.6 g|13 mg|1.7 mg|3.7 g|0|0.10 mg|2.0 mg|1.6 g|0.10 mg|0.02 mg|34 mg
DP009|Taro leaves, boiled|Vegetables|Processed/Products|1.0 g|91.6 g|1.4 mg|4,641 mcg|27 Kal|41 mg|519.4 mg|119 mg|5.9 g|2,682 mcg|0.2 g|3 mg|1.9 mg|1.3 g|0 mcg|0.60 mg|0.5 mg|1.6 g|0.50 mg|0.00 mg|7 mg
DP010|Red sweet potato, steamed|Vegetables|Processed/Products|1.1 g|82.5 g|4.3 mg|5,277 mcg|56 Kal|52 mg|472.8 mg|78 mg|13.0 g|5,397 mcg|0.3 g|28 mg|1.1 mg|3.1 g|0|0.20 mg|0.4 mg|1.5 g|0.10 mg|0.00 mg|14 mg
DP011|Yardlong beans, steamed|Vegetables|Processed/Products|0.6 g|88.2 g|1.2 mg|131 mcg|39 Kal|91 mg|199.0 mg|100 mg|7.6 g|205 mcg|0.6 g|28 mg|0.3 mg|3.0 g|0 mcg|0.10 mg|0.5 mg|1.7 g|0.11 mg|0.02 mg|20 mg
DP012|Yardlong beans, boiled|Vegetables|Processed/Products|0.6 g|90.9 g|0.8 mg|128 mcg|30 Kal|68 mg|114.5 mg|71 mg|5.8 g|162 mcg|0.4 g|24 mg|0.2 mg|2.3 g|0 mcg|0.07 mg|0.4 mg|1.4 g|0.10 mg|0.00 mg|15 mg
DP013|Water spinach, steamed|Vegetables|Processed/Products|1.0 g|90.4 g|4.4 mg|2,370 mcg|30 Kal|49 mg|184.9 mg|70 mg|4.7 g|5,837 mcg|0.7 g|45 mg|1.4 mg|3.2 g|0 mcg|0.28 mg|0.3 mg|1.8 g|0.10 mg|0.03 mg|11 mg
DP014|Water spinach, boiled|Vegetables|Processed/Products|0.8 g|93.0 g|3.5 mg|2,370 mcg|22 Kal|51 mg|98.0 mg|50 mg|3.1 g|4,325 mcg|0.6 g|31 mg|1.2 mg|2.5 g|0 mcg|0.22 mg|0.3 mg|1.2 g|0.10 mg|0.01 mg|13 mg
DP015|White bitter melon, steamed|Vegetables|Processed/Products|0.6 g|95.0 g|0.5 mg|187 mcg|16 Kal|33 mg|236.0 mg|16 mg|3.4 g|65 mcg|0.2 g|4 mg|0.3 mg|0.8 g|0|0.04 mg|0.7 mg|1.2 g|0.00 mg|0.15 mg|35 mg
DP016|Lettuce, boiled|Vegetables|Processed/Products|0.7 g|93.5 g|1.4 mg|2,499 mcg|19 Kal|74 mg|160.7 mg|83 mg|2.9 g|3,700 mcg|0.2 g|24 mg|0.6 mg|2.7 g|0|0.20 mg|0.2 mg|0.7 g|0.05 mg|0.08 mg|27 mg
DP017|Sprouts, fried|Vegetables|Processed/Products|1.5 g|79.2 g|5.7 mg|0|88 Kal|50 mg|0|168 mg|14.0 g|613 mcg|2.1 g|0|0|3.2 g|2 mcg|0|0|0.7 g|0|0.05 mg|0 mg
DP018|Sprouts, brewed|Vegetables|Processed/Products|0.3 g|91.9 g|0.5 mg|46 mcg|28 Kal|73 mg|58.3 mg|52 mg|4.0 g|18 mcg|0.8 g|18 mg|0.9 mg|3.0 g|0|0.00 mg|0.4 mg|1.0 g|0.19 mg|0.10 mg|2 mg
DP019|Long eggpalnt, steamed|Vegetables|Processed/Products|0.5 g|92.7 g|0.5 mg|99 mcg|23 Kal|13 mg|57.0 mg|40 mg|4.9 g|20 mcg|0.1 g|9 mg|0.7 mg|1.8 g|0 mcg|0.07 mg|0.2 mg|0.4 g|67.10 mg|0.00 mg|1 mg
DP020|Carrot, boiled|Vegetables|Processed/Products|0.4 g|92.1 g|0.6 mg|3,824 mcg|28 Kal|28 mg|117.3 mg|46 mg|6.3 g|5,396 mcg|0.5 g|41 mg|0.7 mg|0.7 g|0 mcg|0.03 mg|0.2 mg|0.8 g|0.10 mg|0.01 mg|12 mg
DP021|Carrot, steamed|Vegetables|Processed/Products|0.6 g|89.5 g|0.6 mg|3,994 mcg|37 Kal|30 mg|122.5 mg|44 mg|8.3 g|7,150 mcg|0.6 g|43 mg|0.8 mg|1.0 g|0 mcg|0.03 mg|0.3 mg|1.1 g|0.11 mg|0.02 mg|14 mg
DP022|Bogor pickled, vegetables|Vegetables|Processed/Products|0.7 g|78.0 g|1.2 mg|0|98 Kal|17 mg|0|314 mg|14.8 g|146 mcg|2.6 g|483 mg|0|3.9 g|10 mcg|0|0|0.5 g|0|0.28 mg|5 mg
DP023|Anyang, vegetables|Vegetables|Processed/Products|1.5 g|76.9 g|2.9 mg|3,263 mcg|126 Kal|1 mg|181.0 mg|180 mg|10.3 g|0|7.9 g|290 mg|0|3.4 g|0|0|1.2 mg|5.4 g|0.30 mg|0.20 mg|0
DP024|Ares, vegetables|Vegetables|Processed/Products|3.0 g|77.7 g|1.5 mg|6 mcg|113 Kal|5 mg|1,030.0 mg|63 mg|11.2 g|0|7.2 g|1,413 mg|0.5 mg|0.9 g|0|0|3.8 mg|4.7 g|0.70 mg|0.10 mg|0
DP025|Arwan sisir|Vegetables|Processed/Products|2.9 g|59.0 g|2.4 mg|1,578 mcg|277 Kal|40 mg|320.0 mg|120 mg|10.7 g|0|25.0 g|240 mg|0.0 mg|2.4 g|0|0.20 mg|0.9 mg|4.6 g|0.20 mg|0.10 mg|11 mg
DP026|Beberuk|Vegetables|Processed/Products|1.1 g|89.1 g|8.3 mg|44 mcg|65 Kal|72 mg|427.0 mg|179 mg|3.5 g|0|5.2 g|53 mg|4.4 mg|1.1 g|0|0|0.2 mg|3.1 g|0.40 mg|0.30 mg|0
DP027|Lamtoro wrapped in banana leaves|Vegetables|Processed/Products|2.2 g|63.9 g|26.0 mg|0|186 Kal|322 mg|0|771 mg|13.0 g|179 mcg|9.7 g|0|0|11.7 g|18 mcg|0|0|2.1 g|0|0.27 mg|2 mg
DP028|Taro wrapped in banana leaves|Vegetables|Processed/Products|3.0 g|74.5 g|14.5 mg|0|141 Kal|121 mg|0|149 mg|8.0 g|8,610 mcg|10.2 g|0|0|4.4 g|13 mcg|0|0|1.8 g|0|0.25 mg|1 mg
DP029|Cammetutu|Vegetables|Processed/Products|2.5 g|79.6 g|0.5 mg|1,123 mcg|102 Kal|93 mg|518.0 mg|41 mg|8.7 g|0|6.0 g|443 mg|0.4 mg|3.2 g|0|0.40 mg|0.7 mg|4.3 g|0.30 mg|0.30 mg|19 mg
DP030|Cap cai, vegetables|Vegetables|Processed/Products|1.0 g|82.7 g|1.8 mg|0|97 Kal|89 mg|0|287 mg|4.2 g|1,640 mcg|6.3 g|405 mg|0|5.8 g|45 mcg|0|0|0.6 g|0|0.21 mg|1 mg
DP031|Gado-gado|Vegetables|Processed/Products|1.5 g|68.5 g|7.5 mg|0|137 Kal|135 mg|0|301 mg|21.0 g|5,929 mcg|3.2 g|0|0|6.1 g|3 mcg|0|0|1.1 g|0|0.10 mg|1 mg
DP032|Gudeg, vegetables|Vegetables|Processed/Products|2.1 g|69.2 g|12.8 mg|0|160 Kal|55 mg|0|62 mg|16.0 g|166 mcg|9.2 g|0|0|3.3 g|0 mcg|0|0|2.3 g|0|0.15 mg|0 mg
DP033|Fern curry|Vegetables|Processed/Products|2.6 g|76.1 g|1.7 mg|0|143 Kal|124 mg|0|548 mg|6.0 g|9,802 mcg|11.4 g|0|0|4.0 g|11 mcg|0|0|1.4 g|0|0.35 mg|1 mg
DP034|Pliek curry|Vegetables|Processed/Products|2.7 g|71.9 g|1.4 mg|0|176 Kal|54 mg|285.0 mg|39 mg|3.2 g|0|14.9 g|257 mg|0|7.3 g|0|0|0.6 mg|0|0.30 mg|0|0
DP035|Kadada katembe|Vegetables|Processed/Products|1.5 g|80.0 g|0.0 mg|46 mcg|110 Kal|77 mg|131.0 mg|26 mg|7.1 g|0|6.9 g|178 mg|3.7 mg|4.5 g|0|0|0.7 mg|3.9 g|0.20 mg|0.10 mg|23 mg
DP036|Kaparende, vegetables|Vegetables|Processed/Products|1.3 g|91.7 g|0.0 mg|40 mcg|38 Kal|68 mg|43.0 mg|126 mg|2.6 g|0|2.0 g|170 mg|3.7 mg|2.4 g|0|0|0.3 mg|1.5 g|0.00 mg|0.10 mg|22 mg
DP037|Karedok, vegetables|Vegetables|Processed/Products|1.4 g|79.0 g|2.4 mg|0|92 Kal|85 mg|0|174 mg|14.1 g|1 mcg|3.3 g|0|0|2.2 g|0 mcg|0|0|1.4 g|0|0.08 mg|3 mg
DP038|Spinach chips|Vegetables|Processed/Products|1.9 g|2.3 g|3.6 mg|0|586 Kal|117 mg|0|236 mg|50.2 g|4,544 mcg|40.6 g|0|0|4.9 g|0 mcg|0|0|0.5 g|0|0.16 mg|0 mg
DP039|Kotiu hinela tawang nggole|Vegetables|Processed/Products|1.9 g|88.4 g|0.0 mg|75 mcg|46 Kal|44 mg|103.0 mg|64 mg|6.0 g|0|1.5 g|316 mg|9.7 mg|2.2 g|0|0|0.8 mg|3.8 g|1.60 mg|0.30 mg|7 mg
DP040|Lema/ Bamboo shoots sour|Vegetables|Processed/Products|0.4 g|96.3 g|2.9 mg|0|15 Kal|230 mg|156.0 mg|17 mg|1.9 g|0|0.4 g|3 mg|0|1.0 g|0|0.00 mg|0.7 mg|0|0.10 mg|0.30 mg|0
DP041|Lilin bungkus gedi|Vegetables|Processed/Products|1.9 g|84.8 g|0.9 mg|0|79 Kal|70 mg|50.0 mg|170 mg|5.8 g|0|5.2 g|170 mg|0.0 mg|2.3 g|0|0.10 mg|0.8 mg|2.5 g|0.20 mg|0.20 mg|18 mg
DP042|Olah-olah|Vegetables|Processed/Products|0.9 g|83.9 g|1.2 mg|36 mcg|9 Kal|3 mg|266.0 mg|26 mg|7.1 g|0|6.0 g|289 mg|0.4 mg|2.1 g|0|0.10 mg|0.6 mg|4.4 g|0.30 mg|0.20 mg|0
DP043|Paku hinela wulelenggapaya|Vegetables|Processed/Products|3.1 g|83.4 g|0.0 mg|55 mcg|77 Kal|85 mg|37.0 mg|63 mg|5.4 g|0|4.6 g|469 mg|0.2 mg|3.5 g|0|0.10 mg|0.7 mg|3.6 g|0.30 mg|0.80 mg|4 mg
DP044|Water spinach pelecing|Vegetables|Processed/Products|0.9 g|83.8 g|2.1 mg|870 mcg|75 Kal|3 mg|381.0 mg|36 mg|10.0 g|0|2.8 g|408 mg|0.2 mg|2.5 g|0|0|0.4 mg|5.4 g|0.10 mg|0.70 mg|12 mg
DP045|Purundawa|Vegetables|Processed/Products|2.6 g|91.8 g|0.0 mg|55 mcg|25 Kal|39 mg|201.0 mg|147 mg|3.6 g|0|0.5 g|239 mg|11.6 mg|1.5 g|0|0.10 mg|0.6 mg|1.7 g|0.10 mg|0.10 mg|2 mg
DP046|Rujak cingur|Vegetables|Processed/Products|1.4 g|70.1 g|4.4 mg|0|153 Kal|143 mg|0|256 mg|8.0 g|2,880 mcg|8.4 g|0|0|11.3 g|18 mcg|0|0|1.4 g|0|0.16 mg|2 mg
DP047|Sour soup|Vegetables|Processed/Products|0.8 g|93.2 g|3.1 mg|0|29 Kal|61 mg|0|40 mg|5.0 g|2,075 mcg|0.6 g|0|0|0.7 g|14 mcg|0|0|0.6 g|0|0.10 mg|0 mg
DP048|Papaya flower soup|Vegetables|Processed/Products|2.1 g|83.4 g|1.3 mg|372 mcg|49 Kal|220 mg|350.0 mg|220 mg|9.8 g|0|0.3 g|90 mg|0.0 mg|1.7 g|0|0.10 mg|0.1 mg|2.7 g|0.10 mg|0|0 mg
DP049|Garu soup|Vegetables|Processed/Products|2.1 g|70.8 g|0.9 mg|0|178 Kal|130 mg|120.0 mg|30 mg|10.6 g|0|13.9 g|20 mg|0|2.6 g|0|0.10 mg|0.3 mg|8.4 g|0.10 mg|0.20 mg|9 mg
DP050|Kohu-kohu soup|Vegetables|Processed/Products|2.1 g|72.8 g|0.2 mg|944 mcg|133 Kal|120 mg|50.0 mg|40 mg|11.2 g|0|6.6 g|20 mg|0|7.3 g|0|0.20 mg|0.3 mg|1.2 g|0.10 mg|0.20 mg|9 mg
DP051|Terubuk candle soup|Vegetables|Processed/Products|1.4 g|90.4 g|0.1 mg|0|36 Kal|90 mg|44.0 mg|10 mg|4.8 g|0|0.7 g|30 mg|0|2.7 g|0|0.20 mg|1.0 mg|1.4 g|0.20 mg|0.30 mg|18 mg
DP052|Ndusuk soup|Vegetables|Processed/Products|3.1 g|87.5 g|0.5 mg|0|49 Kal|6 mg|88.0 mg|11 mg|3.6 g|0|2.5 g|1,011 mg|0|3.1 g|0|0.10 mg|0.2 mg|0|0|0.20 mg|15 mg
DP053|Soup|Vegetables|Processed/Products|2.7 g|92.7 g|1.8 mg|0|27 Kal|57 mg|0|168 mg|1.0 g|2,569 mcg|2.0 g|0|0|1.3 g|20 mcg|0|0|0.3 g|0|0.10 mg|0 mg
DP054|Coconut umbut soup|Vegetables|Processed/Products|1.3 g|85.5 g|3.2 mg|21 mcg|67 Kal|81 mg|108.0 mg|48 mg|5.1 g|0|2.9 g|313 mg|0|5.2 g|0|0|1.1 mg|1.4 g|0.20 mg|0.20 mg|5 mg
DP055|Rattan umbut soup|Vegetables|Processed/Products|1.3 g|87.6 g|1.2 mg|18 mcg|57 Kal|135 mg|81.0 mg|184 mg|3.1 g|0 mcg|2.6 g|256 mg|0|5.4 g|0|0|0.9 mg|1.6 g|0.20 mg|0.20 mg|6 mg
DP056|Shabu-shabu|Vegetables|Processed/Products|0.9 g|87.1 g|2.9 mg|0|88 Kal|48 mg|0|217 mg|0.8 g|2,000 mcg|8.0 g|514 mg|0|3.2 g|82 mcg|0|0|0.9 g|0|0.20 mg|0 mg
DP057|Jengkol stew|Vegetables|Processed/Products|2.2 g|52.7 g|1.0 mg|0|212 Kal|99 mg|0|77 mg|29.1 g|81 mcg|10.0 g|0|0|6.0 g|0|0|0|0|0|0.14 mg|4 mg
DP058|Tinira ninahu nggaluku|Vegetables|Processed/Products|1.5 g|91.8 g|0.0 mg|6 mcg|33 Kal|35 mg|119.0 mg|35 mg|4.1 g|0 mcg|1.3 g|161 mg|3.5 mg|1.2 g|0|0.00 mg|0.7 mg|3.1 g|0.20 mg|0.30 mg|10 mg
DP059|Sauted spinach with coconut milk|Vegetables|Processed/Products|0.6 g|91.2 g|0.8 mg|0|48 Kal|27 mg|0|129 mg|2.6 g|2,988 mcg|4.2 g|0|0|1.4 g|0 mcg|0|0|0.5 g|0|0.01 mg|22 mg
DP060|Balamak pumpkin|Vegetables|Processed/Products|1.0 g|89.4 g|0.5 mg|1,241 mcg|45 Kal|25 mg|15.0 mg|25 mg|8.1 g|0 mcg|0.9 g|61 mg|0.1 mg|0.8 g|0|0.00 mg|0.2 mg|7.9 g|0|0.20 mg|2 mg
DP061|Woku sweet potato|Vegetables|Processed/Products|1.1 g|73.0 g|2.8 mg|1,519 mcg|143 Kal|91 mg|256.0 mg|195 mg|15.0 g|0 mcg|7.8 g|353 mg|0|3.1 g|0|0|1.0 mg|7.0 g|0.30 mg|0.10 mg|15 mg
DR001|Lotus root, fresh|Vegetables|Raw|1.0 g|86.7 g|1.3 mg|83 mcg|45 Kal|125 mg|1,147.1 mg|72 mg|10.8 g|90 mcg|0.4 g|96 mg|1.9 mg|1.1 g|0 mcg|0.03 mg|0.2 mg|1.2 g|0.02 mg|0.02 mg|2 mg
DR002|Bean sprouts, fresh|Vegetables|Raw|0.7 g|90.6 g|2.0 mg|0 mcg|37 Kal|248 mg|105.0 mg|50 mg|3.8 g|35 mcg|0.5 g|2 mg|0.6 mg|4.4 g|0 mcg|0.09 mg|0.4 mg|1.7 g|0.16 mg|0.02 mg|46 mg
DR003|Andaliman, fresh|Vegetables|Raw|2.2 g|74.2 g|2.9 mg|0|99 Kal|107 mg|0|383 mg|18.0 g|6,300 mcg|1.0 g|0|0|4.6 g|0 mcg|0|0|8.5 g|0|3.00 mg|15 mg
DR004|Endive, fresh|Vegetables|Raw|1.1 g|91.8 g|1.0 mg|1,717 mcg|226 Kal|66 mg|414.6 mg|33 mg|5.3 g|0|0.2 g|29 mg|0.5 mg|1.6 g|0|0.09 mg|1.0 mg|4.1 g|0.13 mg|0.14 mg|10 mg
DR005|Welsh onion, fresh|Vegetables|Raw|1.1 g|92.5 g|0.5 mg|1,080 mcg|27 Kal|20 mg|340.0 mg|19 mg|4.2 g|0|0.2 g|37 mg|0.3 mg|2.0 g|0|0.10 mg|0.3 mg|3.8 g|0.20 mg|0.20 mg|42 mg
DR006|Ash gourd, fresh|Vegetables|Raw|0.3 g|96.1 g|0.4 mg|0 mcg|15 Kal|19 mg|131.1 mg|19 mg|3.0 g|0|0.2 g|2 mg|0.3 mg|0.4 g|0|0.02 mg|0.6 mg|0.4 g|0.02 mg|0.04 mg|13 mg
DR007|Onion, fresh|Vegetables|Raw|0.6 g|87.5 g|0.5 mg|788 mcg|43 Kal|44 mg|9.6 mg|32 mg|10.3 g|50 mcg|0.2 g|12 mg|0.4 mg|1.4 g|0|0.21 mg|0.3 mg|2.0 g|0.10 mg|0.03 mg|9 mg
DR008|Spinach, fresh|Vegetables|Raw|1.3 g|94.5 g|3.5 mg|2,699 mcg|16 Kal|76 mg|456.4 mg|166 mg|2.9 g|2,293 mcg|0.4 g|16 mg|1.0 mg|0.9 g|0|0.10 mg|0.4 mg|0.7 g|0.13 mg|0.04 mg|41 mg
DR009|Red spinach, fresh|Vegetables|Raw|2.2 g|88.5 g|7.0 mg|7,325 mcg|41 Kal|80 mg|60.0 mg|520 mg|6.3 g|0|0.8 g|20 mg|0.1 mg|2.2 g|0 mcg|0.10 mg|0.8 mg|2.2 g|0.20 mg|0.20 mg|62 mg
DR010|Beets, fresh|Vegetables|Raw|1.1 g|87.6 g|1.0 mg|0 mcg|41 Kal|43 mg|404.9 mg|27 mg|9.6 g|20 mcg|0.1 g|29 mg|0.3 mg|1.6 g|0|0.05 mg|0.7 mg|2.6 g|0.20 mg|0.02 mg|10 mg
DR011|Moringa fruit|Vegetables|Raw|1.3 g|89.5 g|0.0 mg|31 mcg|38 Kal|54 mg|216.0 mg|30 mg|7.5 g|0|0.2 g|48 mg|4.1 mg|1.5 g|0|0.10 mg|0.2 mg|3.2 g|0.00 mg|0.10 mg|25 mg
DR012|Red fruit|Vegetables|Raw|0.4 g|81.2 g|1.1 mg|0 mcg|87 Kal|1 mg|140.0 mg|30 mg|13.1 g|0|2.7 g|110 mg|0.2 mg|2.6 g|0 mcg|0.10 mg|0.3 mg|4.0 g|0.10 mg|1.50 mg|15 mg
DR013|Bean, fresh|Vegetables|Raw|0.5 g|89.6 g|0.7 mg|772 mcg|34 Kal|42 mg|250.0 mg|101 mg|7.2 g|550 mcg|0.3 g|8 mg|2.8 mg|2.4 g|0 mcg|0.40 mg|0.3 mg|1.9 g|0.07 mg|0.05 mg|11 mg
DR014|Papaya flower, fresh|Vegetables|Raw|1.7 g|87.3 g|4.2 mg|2,792 mcg|45 Kal|113 mg|478.3 mg|290 mg|8.1 g|5 mcg|0.3 g|2 mg|1.0 mg|2.6 g|0|0.28 mg|0.8 mg|1.6 g|0.08 mg|0.01 mg|23 mg
DR015|Vegetable-hummingbird flower, fresh|Vegetables|Raw|0.4 g|90.4 g|0.8 mg|1,200 mcg|42 Kal|23 mg|97.4 mg|28 mg|6.1 g|0 mcg|1.1 g|29 mg|0.4 mg|2.0 g|0|0.02 mg|0.6 mg|3.3 g|0.10 mg|0.50 mg|1 mg
DR016|Choy sum, fresh|Vegetables|Raw|0.9 g|93.6 g|1.9 mg|1,675 mcg|20 Kal|40 mg|358.2 mg|123 mg|3.4 g|4,188 mcg|0.4 g|18 mg|0.6 mg|1.7 g|0|0.19 mg|1.4 mg|1.2 g|0.05 mg|0.04 mg|3 mg
DR017|Mexican mint, fresh|Vegetables|Raw|1.6 g|92.5 g|13.6 mg|1,489 mcg|27 Kal|40 mg|144.0 mg|279 mg|4.0 g|13,288 mcg|0.6 g|4 mg|0.0 mg|1.3 g|0|0.10 mg|0|1.0 g|0|0.16 mg|5 mg
DR018|Shallot, leaf, fresh|Vegetables|Raw|0.8 g|89.1 g|2.3 mg|218 mcg|41 Kal|40 mg|90.0 mg|60 mg|7.8 g|0|0.3 g|30 mg|0.2 mg|2.0 g|0 mcg|0.10 mg|0.3 mg|2.1 g|0.10 mg|0.10 mg|11 mg
DR019|Premna leaves, fresh|Vegetables|Raw|1.1 g|87.9 g|1.5 mg|0|41 Kal|245 mg|0|29 mg|7.3 g|3,099 mcg|1.0 g|0|0|2.7 g|0 mcg|0|0|2.1 g|0|0.01 mg|3 mg
DR020|Belem leaf, fresh|Vegetables|Raw|1.8 g|84.6 g|7.5 mg|0|50 Kal|151 mg|0|698 mg|7.8 g|13,072 mcg|1.4 g|0|0|4.4 g|0 mcg|0|0|1.9 g|0|0.05 mg|21 mg
DR021|Indian camphorweed, leaves|Vegetables|Raw|2.3 g|86.0 g|5.6 mg|0|44 Kal|49 mg|0|256 mg|9.4 g|3,980 mcg|0.5 g|0|0|1.8 g|0|0|0|0|0|0.02 mg|30 mg
DR022|Gandiaria leaves, fresh|Vegetables|Raw|1.6 g|81.0 g|4.7 mg|503 mcg|63 Kal|45 mg|127.7 mg|40 mg|14.0 g|600 mcg|0.3 g|3 mg|0.2 mg|3.1 g|0|0.04 mg|0|2.1 g|0|0.04 mg|61 mg
DR023|Sunset hibiscus, big, fresh|Vegetables|Raw|2.4 g|84.0 g|1.9 mg|596 mcg|58 Kal|100 mg|40.0 mg|440 mg|10.0 g|0|0.7 g|30 mg|2.8 mg|2.9 g|0|0.50 mg|2.1 mg|3.3 g|0.20 mg|0.40 mg|11 mg
DR024|Sunset hibiscus, small, fresh|Vegetables|Raw|2.0 g|83.7 g|1.7 mg|607 mcg|61 Kal|70 mg|50.0 mg|420 mg|10.4 g|0|0.7 g|20 mg|2.9 mg|3.2 g|0|0.30 mg|1.4 mg|3.4 g|0.10 mg|0.40 mg|11 mg
DR025|Common purslane leaves, fresh|Vegetables|Raw|1.9 g|90.3 g|11.9 mg|4,701 mcg|30 Kal|210 mg|333.3 mg|350 mg|5.8 g|1,954 mcg|0.7 g|5 mg|0.7 mg|1.3 g|0 mcg|0.14 mg|1.2 mg|1.3 g|0.31 mg|0.01 mg|1 mg
DR026|Bali goseweed leaves, fresh|Vegetables|Raw|1.1 g|86.4 g|0.5 mg|0|50 Kal|62 mg|0|167 mg|7.0 g|6,571 mcg|0.9 g|0|0|4.6 g|0 mcg|0|0|1.4 g|0|0.05 mg|20 mg
DR027|Serang goseweed leaves, fresh|Vegetables|Raw|1.1 g|84.6 g|0.6 mg|0|62 Kal|64 mg|0|171 mg|9.2 g|7,347 mcg|0.9 g|0|0|4.2 g|0 mcg|0|0|1.3 g|0|0.02 mg|20 mg
DR028|Chasew leaves, unripe, fresh|Vegetables|Raw|0.7 g|78.0 g|8.9 mg|4,484 mcg|78 Kal|64 mg|670.5 mg|33 mg|16.2 g|2,689 mcg|0.5 g|14 mg|1.1 mg|4.6 g|0|1.12 mg|0|3.0 g|0|0.02 mg|65 mg
DR029|Indian goosegrass, leaves|Vegetables|Raw|1.5 g|88.9 g|1.0 mg|0|34 Kal|245 mg|0|21 mg|5.3 g|4,357 mcg|0.5 g|0|0|3.8 g|0 mcg|0|0|1.4 g|0|0.03 mg|3 mg
DR030|Jawaw leaf seluang, fresh|Vegetables|Raw|1.2 g|77.2 g|5.3 mg|0|93 Kal|103 mg|434.0 mg|146 mg|15.3 g|0|1.3 g|2 mg|0|5.0 g|0|0.70 mg|1.5 mg|3.9 g|0.50 mg|0.10 mg|9 mg
DR031|Lilac tasselflower leaves, fresh|Vegetables|Raw|1.4 g|91.4 g|9.5 mg|0|27 Kal|192 mg|0|253 mg|4.4 g|5,057 mcg|0.7 g|0|0|2.1 g|0 mcg|0|0|2.0 g|0|0.01 mg|1 mg
DR032|Chinese Motherwort leaves, fresh|Vegetables|Raw|0.6 g|89.1 g|2.2 mg|2,893 mcg|36 Kal|220 mg|485.3 mg|64 mg|6.8 g|4,377 mcg|0.6 g|7 mg|1.2 mg|2.9 g|0|0.18 mg|0.3 mg|1.8 g|0.20 mg|0.04 mg|4 mg
DR033|Yardlong beans leaves, fresh|Vegetables|Raw|1.1 g|89.7 g|4.5 mg|2,734 mcg|30 Kal|66 mg|458.6 mg|200 mg|5.8 g|4,592 mcg|0.3 g|7 mg|1.1 mg|3.1 g|0 mcg|0.20 mg|0.3 mg|1.7 g|0.20 mg|0.33 mg|30 mg
DR034|Ceara rubber leaves, fresh|Vegetables|Raw|1.2 g|80.3 g|1.6 mg|9,999 mcg|92 Kal|70 mg|90.0 mg|140 mg|10.9 g|0|3.6 g|70 mg|0.1 mg|4.0 g|0|0.20 mg|1.1 mg|5.8 g|0.30 mg|0.10 mg|74 mg
DR035|Sweet leaves, fresh|Vegetables|Raw|1.7 g|81.0 g|3.5 mg|9,152 mcg|59 Kal|98 mg|478.8 mg|233 mg|9.9 g|10,020 mcg|1.0 g|21 mg|2.3 mg|6.4 g|0|0.31 mg|1.3 mg|1.5 g|0.30 mg|0.00 mg|164 mg
DR036|Winged bean, fresh|Vegetables|Raw|1.0 g|85.0 g|6.2 mg|3,981 mcg|52 Kal|81 mg|114.0 mg|134 mg|8.5 g|5,240 mcg|0.5 g|6 mg|2.2 mg|5.0 g|0|0.40 mg|0.8 mg|0|0.30 mg|0.28 mg|29 mg
