FOOD_CODE|Nutrient/Ingridient|Value (per 100gr)|Name|Group|Type
AP013|Kalsium (Ca)|10 mg|Corn, white, flour|Cereals|Processed/Products
AP013|Fosfor (P)|256 mg|Corn, white, flour|Cereals|Processed/Products
AP013|Besi (Fe)|2.4 mg|Corn, white, flour|Cereals|Processed/Products
AP013|Natrium (Na)|11 mg|Corn, white, flour|Cereals|Processed/Products
AP013|Kalium (K)|24.4 mg|Corn, white, flour|Cereals|Processed/Products
AP013|Tembaga (Cu)|0.23 mg|Corn, white, flour|Cereals|Processed/Products
AP013|Seng (Zn)|1.7 mg|Corn, white, flour|Cereals|Processed/Products
AP013|Beta-Karoten (Carotenes)|0 mcg|Corn, white, flour|Cereals|Processed/Products
AP013|Karoten Total (Re)|0 mcg|Corn, white, flour|Cereals|Processed/Products
AP013|Thiamin (Vit. B1)|0.38 mg|Corn, white, flour|Cereals|Processed/Products
AP013|Riboflavin (Vit. B2)|0.02 mg|Corn, white, flour|Cereals|Processed/Products
AP013|Niasin (Niacin)|0.3 mg|Corn, white, flour|Cereals|Processed/Products
AP014|Air (Water)|52.0 g|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Energi (Energy)|212 Kal|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Protein (Protein)|4.0 g|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Lemak (Fat)|4.6 g|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Karbohidrat (CHO)|38.6 g|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Serat (Fibre)|0.2 g|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Abu (ASH)|0.9 g|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Kalsium (Ca)|8 mg|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Fosfor (P)|46 mg|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Besi (Fe)|1.0 mg|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Retinol (Vit. A)|0 mcg|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Beta-Karoten (Carotenes)|0 mcg|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Karoten Total (Re)|0 mcg|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Thiamin (Vit. B1)|0.07 mg|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Niasin (Niacin)|0.2 mg|Glutinous rice, ketupat|Cereals|Processed/Products
AP014|Vitamin C (Vit. C)|0 mg|Glutinous rice, ketupat|Cereals|Processed/Products
AP015|Air (Water)|56.9 g|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Energi (Energy)|181 Kal|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Protein (Protein)|4.0 g|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Lemak (Fat)|1.2 g|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Karbohidrat (CHO)|37.3 g|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Serat (Fibre)|0.3 g|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Abu (ASH)|0.6 g|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Kalsium (Ca)|9 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Fosfor (P)|144 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Besi (Fe)|1.7 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Natrium (Na)|9 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Kalium (K)|18.4 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Tembaga (Cu)|0.10 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Seng (Zn)|0.7 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Retinol (Vit. A)|0 mcg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Beta-Karoten (Carotenes)|0 mcg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Karoten Total (Re)|0 mcg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Thiamin (Vit. B1)|0.06 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Riboflavin (Vit. B2)|0.00 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Niasin (Niacin)|0.5 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP015|Vitamin C (Vit. C)|0 mg|Glutinous rice, black, cooked|Cereals|Processed/Products
AP016|Air (Water)|50.2 g|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Energi (Energy)|166 Kal|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Protein (Protein)|3.8 g|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Lemak (Fat)|1.0 g|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Karbohidrat (CHO)|34.4 g|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Serat (Fibre)|0.3 g|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Abu (ASH)|0.6 g|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Kalsium (Ca)|8 mg|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Fosfor (P)|106 mg|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Besi (Fe)|1.6 mg|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Natrium (Na)|5 mg|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Kalium (K)|12.0 mg|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Karoten Total (Re)|0 mcg|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Thiamin (Vit. B1)|0.02 mg|Glutinous rice, black, tapai|Cereals|Processed/Products
AP016|Vitamin C (Vit. C)|0 mg|Glutinous rice, black, tapai|Cereals|Processed/Products
AP017|Air (Water)|60.7 g|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Energi (Energy)|163 Kal|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Protein (Protein)|3.0 g|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Lemak (Fat)|0.4 g|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Karbohidrat (CHO)|35.7 g|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Serat (Fibre)|0.2 g|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Abu (ASH)|0.2 g|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Kalsium (Ca)|4 mg|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Fosfor (P)|55 mg|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Besi (Fe)|0.7 mg|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Natrium (Na)|8 mg|Glutinous rice, white, cooked|Cereals|Processed/Products
AP017|Kalium (K)|16.8 mg|Glutinous rice, white, cooked|Cereals|Processed/Products
